name,cate,desc,dispellable,extendable,stealable
「迅捷I」：移动力+1,false,false,false
失智I,有害,法术免伤-10%,true,false,false
失智II,有害,法术免伤-20%,true,false,false
失智III,有害,法术免伤-25%,true,false,false
如燕,其他,主动攻击「对战中」暴击率提高20%，移动力+1，可跨越障碍（不可驱散）,false,false,false
妖魂,其他,主动攻击，目标无法发动「抵挡致命伤害」效果。自身相邻1格开启「限制区域」：敌方移动力消耗+1（「引导区域」和「限制区域」叠加效果上限为+2）。,false,false,false
威慑,其他,自身反击射程+1，3格范围内所有敌人除气血外全属性降低10%，且具有轻功能力的角色翻越障碍能力失效,false,false,false
孑身,有害,受治疗效果降低30%，不可被其他友方选中（不可驱散）,false,false,false
孤孑,有害,受治疗效果和护盾获得加成降低40%，不可被其他友方选中，行动结束时若自身1格内不存在其他友方则自身所有「有害状态」持续时间+1（不可驱散）,false,false,false
孤绝,其他,回合开始和行动结束时，反转自身2格范围内友方2个「有益状态」为随机「有害状态」。,false,false,false
定身,有害,无法移动，无法护卫,true,false,false
审判,其他,当敌方行动结束时，如果在警戒范围内，则立刻对其1圈范围内所有敌人造成0.4倍物攻伤害，驱散1个「有益状态」（累积触发3次后消失）,false,false,false
审判·贰,其他,当敌方行动结束时，如果在警戒范围内，则立刻对其1圈范围内所有敌人造成0.5倍物攻伤害，反转1个「有益状态」（累积触发3次后消失，每触发1次降低「弥伽诫喻」1回合冷却）,false,false,false
宿魂,其他,携带「执戮」状态时，若受到致命伤害时免除死亡，自身恢复30%气血（每场战斗触发1次）,false,false,false
寄形,其他,与施加者作战，「对战前」被施加者偷取3个随机「有益状态」（不可驱散，触发后消失）,false,false,false
寒岚,其他,使用冰属相绝学攻击时提高10%法穿（使用冰属相绝学后移除）。,false,false,false
寒袭,其他,遭受近战攻击「对战中」物攻提高20%，并发动「先攻」。（「先攻」每回合触发1次）,false,false,false
寒袭·壹,其他,遭受近战攻击「对战中」物攻提高20%，并发动「先攻」,false,false,false
寒袭·贰,其他,遭受攻击「对战后」对目标施加「迟缓I」状态，持续1回合。遭受近战攻击「对战中」物攻提高20%，并发动「先攻」,false,false,false
对决,其他,选择敌方作为目标时只能选中施加者，且与施加者对战时，暴击率、暴击抗性降低20%，行动结束时，若不处于施加者3格范围内，给施加者施加「迅捷I」持续1回合。,false,false,false
寻猎,其他,若队友主动攻击自身2格范围内的敌人，且优先攻击时，则在「对战中」双方交战后，立刻对敌方造成额外一次0.3倍物攻伤害（每回合只能触发1次）,false,false,false
封劲,有害,主动绝学射程-1,true,false,false
封咒,有害,无法使用主动「绝学」,true,false,false
封穴,有害,无法发动「连击」「追击」和「闪避」,true,false,false
封缄,有害,范围绝学的范围-1,true,false,false
封脉,有害,所有被动「绝学」失效,true,false,false
屠戮,其他,无法护卫队友，主动攻击「对战后」造成1次「固定伤害」（物攻的50%）若目标气血低于50%，则本次「固定伤害」翻倍（下一次主动攻击「对战后」触发消耗）,false,false,false
山河图,其他,无法行动，免疫击退、传送、撤退效果。2格范围内其他友方行动结束时驱散1个「有害状态」，并恢复自身30%最大气血。被击破或回合结束时，被传入的友方将回到战场，恢复全部气血并移除所有「有害状态」。,false,false,false
山河图·壹,其他,无法行动，免疫击退、传送、撤退效果。2格范围内其他友方行动结束时驱散2个「有害状态」，并恢复自身30%最大气血。被击破或回合结束时，被传入的友方将回到战场，恢复全部气血并移除所有「有害状态」。,false,false,false
山河图·贰,其他,无法行动，免疫击退、传送、撤退效果。2格范围内其他友方免疫「有害状态」且行动结束时驱散2个「有害状态」，并恢复自身30%最大气血。被击破或回合结束时，被传入的友方将回到战场，恢复全部气血并移除所有「有害状态」，若目标已行动结束则被击破时额外获得再激活。,false,false,false
巨影,其他,主动攻击「对战中」免伤提高15%，且「对战后」恢复自身气血（恢复量为本次伤害的50%）（不可驱散）,false,false,false
幽寂,有害,携带的「有益状态」（仅限满足可驱散）无效,true,false,false
幽煌邪焰,其他,除气血外所有属性提高10%,false,false,false
幽禁,其他,若自身1格内无其他友方，行动力-1。与律「对战中」攻击、免伤降低15%,false,false,false
幽铠,有益,遭受攻击「对战前」夺取目标2个「有益状态」，若夺取数达上限则造成1次「固定伤害」（目标最大气血的10%）（触发后移除）。,true,false,false
幽阙,有害,无法获得治疗（无法驱散）,false,false,false
幽霜,其他,免伤+20%，主动造成伤害后，对目标造成1次「固定伤害」（（物攻+物防）的30%），并施加「迟缓I」状态，持续2回合,false,false,false
幽魂,其他,移动力+1，行动时无视敌方角色阻挡（不可驱散）,false,false,false
庇护,其他,代替相邻2格距离的队友承受攻击，反击射程+1，遭受暴击概率降低20%。,false,false,false
庇护·壹,其他,代替相邻3格距离的队友承受攻击，反击射程+2，遭受暴击概率降低20%。,false,false,false
异心,其他,3格内每有1名其他友方行动结束时携带者受到1次「固定伤害」（当前气血的30%）并获得1个随机「有害状态」（不可驱散）,false,false,false
引灵,其他,选择敌方作为目标时只能选中施加者，主动攻击施加者时伤害降低20%，若本回合没有发起攻击，则被施加1个随机「有害状态」。,false,false,false
归依,其他,行动结束时，使施加者恢复3格内所有施加者友方的气血（恢复量为施加者法攻的0.5倍）并施加1个随机「有益状态」（不可驱散）,false,false,false
影遁,其他,伤害和暴击率提高12%，无法被敌人普通攻击及绝学锁定为目标（遭受1次范围伤害或造成伤害后，或行动结束时，自身2格范围内存在敌人时，该状态消失）,false,false,false
御敌,其他,每层伤害、免伤+15%（上限4层）。,false,false,false
御火,其他,火属相免伤80%，受到攻击后消失。,false,false,false
御魔I,有益,法防+30%,true,false,false
御魔II,有益,法防+35%,true,false,false
循血,其他,自身每携带1个「有益状态」状态，伤害、物理免伤提升5%（最多提升15%）；「对战后」反转自身2个「有害状态」，恢复自身气血（最大气血的30%），并将自身最多2个「有益状态」复制给3格内的其他友方。（每回合只能触发1次）,false,false,false
心剑,其他,物攻、免伤提高10%，自身免疫敌方「限制区域」效果。气血大于等于80%，「追击」转化为「连击」，且伤害提升至0.6倍。,false,false,false
心念,其他,达到2层后消耗并获得「波旬降临」状态，处于「波旬降临」状态时无法获得（上限2层）,false,false,false
心莲,其他,免伤+30%，状态消失时恢复自身气血（恢复量为施术者法攻的0.7倍）受到伤害后消失。,false,false,false
忘时,有害,行动结束时，自身1个初始冷却时间最长的伤害绝学冷却时间+1（不可驱散）,false,false,false
怒意,其他,除气血外全属性提高10%,false,false,false
怒火,有益,物攻提高30%，主动攻击「对战后」自身所有主动绝学冷却时间-1,false,false,false
怯懦,其他,除气血外全属性降低20%，遭受鲜于超主动攻击「对战中」受到伤害提升20%，且无法反击,false,false,false
怵惕,其他,每层物理伤害、暴击率-20%，携带者主动攻击后，叠加1层（上限3层，不可驱散）。,false,false,false
恩念,其他,主动攻击「对战后」自身受到1次「固定伤害」（当前气血的50%）（不可驱散）,false,false,false
惶乱,有害,遭受攻击受到暴击后，获得1个随机「有害状态」，并对施加者施加1个随机「有益状态」（不可驱散）,false,false,false
愈合,有益,「对战后」恢复15%气血,true,false,false
意乱,其他,选择敌方作为目标时只能选中施加者，且与施加者对战时，暴击率降低100%,false,false,false
愤怒,其他,射程+2，除气血外全属性提升20%,false,false,false
慈鹿,其他,不可被敌方选中，3格范围内敌方无法获得气力且主动远程攻击「对战中」伤害和暴击率降低20%，3格范围内友方遭受攻击「对战后」恢复气血（施术者物攻的1.0倍）,false,false,false
慑印,其他,遭受暴击率+15%，自身相邻1格内开启「引导区域」：敌方「陆文生」移动力消耗-1，下回合开始时移除,false,false,false
慑服,其他,行动结束时若处于施加者3格内，反转自身1个「有益状态」并发生1格内「扰动」效果（不可驱散，触发后移除）。,false,false,false
戒严,其他,物理免伤提升20%，反击射程+1，代替2格内友方承受1次物理攻击（「对战后」移除）,false,false,false
战引,其他,选择敌方作为目标时只能选中施加者，主动攻击施加者时伤害降低20%。,false,false,false
执剑,其他,遭受非飞行角色攻击时，「对战前」夺取敌方1个「有益状态」，「对战中」免伤和暴击抗性提高15%,false,false,false
执念,其他,伤害+4%，暴击率+4%（上限4层）,false,false,false
执戮,其他,全属性提高20%，雷伤减免和暗伤减免额外提高30%，主动攻击「对战后」随机对1圈范围内的敌人造成3次「固定伤害」（物攻的30%）。「执戮」存在期间无法获得「绝心」（不可驱散）,false,false,false
护佑,其他,双防+20%，遭受暴击后恢复30%气血,false,false,false
护卫,其他,代替相邻2格距离的队友承受攻击（不可驱散）,false,false,false
护卫·贰,其他,代替相邻3格距离的队友承受攻击（不可驱散）,false,false,false
护巢,其他,代替相邻2格内友方承受物理攻击。遭受攻击「对战中」发动「先攻」且射程+1（遭受攻击「对战后」移除）,false,false,false
护法,其他,法术免伤提高20%，代替2格内友方承受法术攻击（「对战后」消失）,false,false,false
护象,其他,范围内所有友方遭受「固定伤害」减免50% ，且施术者自身免伤额外提高10%（无法驱散）,false,false,false
报怒,其他,移除「空性」状态，伤害+20%，克制攻击加成+15%，移动力+1（不可驱散）,false,false,false
披甲I,有益,物防+20%,true,false,false
披甲II,有益,物防+25%,true,false,false
担因,其他,物理免伤+20%，代替2格内友方承受1次物攻（「对战后」消失）,false,false,false
拉弓,其他,下一次普攻必定发动连击（0.3倍伤害，触发后消失）,false,false,false
拢烟,其他,主动攻击每命中1个敌人给施加者回复1点气力（最多3点，不可驱散）,false,false,false
持旗,其它,相邻1格内开启「限制区域」：敌方移动 力消耗+1。主动攻击前驱散敌方1个「有益状态」，并施加「燃烧」状态，持续2 回合。,false,false,false
振翎,其他,射程+1，物攻和暴击率提高12%（上限2层，主动攻击后全部消耗）,false,false,false
挽弓,其他,伤害提高20%，射程+1（不可驱散，主动使用伤害绝学后消耗）,false,false,false
探敌,其他,移动力+1，主动攻击造成伤害时为施加者增加1层「御敌」状态，持续1回合，且施加者立刻触发1次天赋的「御敌」效果（每回合最多触发1次）。,false,false,false
控潮,其他,若自身处于我方「霜冻」地形上，敌方行动结束时，若处于露葵3格范围内，对其目标位置触发1次天赋伤害和地形（每回合触发1次）,false,false,false
携酒游,其他,主动移动后在路径上制造「酒池」地形，持续2回合。
「酒池」：友方处于地形上时，遭受暴击伤害-10%，行动结束时，恢复气血（最大气血的20%），驱散1个「有害状态」。酒池内的友方角色不消耗「酒」状态。,false,false,false
撕裂,有害,行动结束时，遭受1次伤害（施加者物攻的70%，上限7层，期间受到施加者的攻击伤害，可叠加1层，无法扩散）,true,false,false
撤退,其他,离开战场，不触发死亡相关逻辑。,false,false,false
收买,有害,景乐齐遭受攻击时替其承受伤害量的50%（承受量不超过景乐齐的最大气血）。
携带者行动结束时，对5格范围内的敌方施加1层「酒」状态。,false,false,false
斗战,其他,斗破贪嗔痴慢疑，战退烦恼妄执迷,false,false,false
断刺I,有害,暴击率-20%,true,false,false
断刺II,有害,暴击率-25%,true,false,false
断步I,有害,移动力上限变为4（不可驱散）,false,false,false
断步II,有害,移动力上限变为3（不可驱散）,false,false,false
断筋,有害,受治疗效果降低30%，无法触发再移动和自身赋予的再行动（不可驱散）,false,false,false
断骨,有害,无法护卫，无法使用主动「绝学」,false,false,false
施咒,其他,其他友方在自身2格范围内发起对战，且优先攻击时，则为其施加「神睿」「御魔」状态，持续1回合（每回合只能触发1次）
「神睿」：物攻，法攻+20%
「御魔」：法防+30%,false,false,false
旋刃,其他,基于最近的敌方目标2格范围进行弹射，造成1次「固定伤害」（物攻的30%）。（优先未被弹射过且在弹射范围内距离最近的目标，弹射目标无法重复，若没有弹射目标，则立刻中断）,false,false,false
旖梦香,其他,伤害提升8%，达到3层时，绝学射程+1（上限3层）,false,false,false
无忧域,其他,免疫「晕眩」，且施术者自身反击射程+1（不可驱散）,false,false,false
无摧·天玑印,有益,免疫所有「有害状态」，获得来自施加者触发的天赋效果（不可复制，不可偷取，不可驱散）,false,false,false
无摧·封劲,有害,主动绝学射程-1（不可驱散）,false,false,false
无摧·封脉,有害,所有被动「绝学」失效（不可驱散）,false,false,false
无摧·幽寂,有害,携带的「有益状态」（仅限满足可驱散）无效（不可驱散）,false,false,false
无摧·无觉,有益,携带的「有害状态」（仅限满足可驱散的）无效。遭受3格内敌人的攻击后，将自身1个「有害状态」转移给攻击者。,false,false,false
无摧·迟缓III,有害,移动力-3，无法护卫（无法驱散）,false,false,false
无法反击,其他,无法反击类状态包含：「压制」「麻痹」「晕眩」「禁闭」,false,false,false
无瑕I,有益,遭受暴击-20%,true,false,false
无瑕II,有益,遭受暴击-25%,true,false,false
无觉,有益,携带的「有害状态」（仅限满足可驱散）无效。遭受3格内敌人的攻击后，将自身1个「有害状态」转移给攻击者。,true,false,false
既行,其他,无法被再次激活（不可驱散，下回合开始时移除）,false,false,false
昌明,其他,每层法攻提高5%，携带2层及以上时，免疫「封咒」状态且绝学射程+1（上限4层）,false,false,false
明光,其他,行动结束时，对2格范围内所有友方驱散1个「有害状态」，并恢复气血（恢复量为施术者法攻的0.5倍）。,false,false,false
星云,有益,遭受攻击时，敌方「对战前」每移动1格则伤害降低10%（最多降低30%，状态触发后消失，并使施加者获得2点「星屑」）,true,false,false
星屑,其他,愿我如星君如月，夜夜流光相皎洁。消耗「星屑」，以强化或开启「摇光破军界」（上限10点）。,false,false,false
星狩,其他,射程和绝学范围+2，无法移动，使用绝学后为2格范围气血最低的1个友方恢复气血（恢复量为施术者物攻的0.7倍）。,false,false,false
星蚀,其他,无法使用「星垂平野」,false,false,false
晕眩,有害,无法行动，且在对战中无法进行反击。,true,false,false
暖机,其他,暴击率提高10%，获得1个「有益状态」（携带3层主动攻击「对战后」消耗）。,false,false,false
暗引,其他,遭受攻击受到伤害后立刻恢复施加者和攻击者该次伤害数值30%的气血。,false,false,false
暗流,有益,主动攻击后，恢复自身气血（恢复量为施术者法攻的0.4倍）并将自身1个「有害状态」转移给白复归。,false,false,false
暗铠,有益,受到克制伤害降低20%，受到伤害后，40%概率对攻击者施加1个随机「有害状态」（受到伤害后消耗）,true,false,false
暴风眼,其他,伤害和暴击率+5%（最多叠加3层）本回合若释放过绝学，行动结束时对1圈内所有敌人造成0.15倍范围伤害（触发后移除1层）。,false,false,false
机巧·坚壳,其他,友方「阿秋」行动结束时拾取，恢复自身气血50%，获得「甲力」状态。
「甲力」：免伤提高50%（遭受1次攻击后消耗）,false,false,false
机巧·械躯,其他,友方「阿秋」行动结束时拾取，主动绝学冷却时间-1，若本回合未使用气力技，获得3气力。,false,false,false
机巧·独角,其他,友方「阿秋」行动结束时拾取，获得「蓄电」状态、「神睿I」状态，持续2回合。,false,false,false
杳影,其他,「对战中」闪避一次攻击，且只可使用「逐星破日」或普通攻击（触发后移除，无法驱散）,false,false,false
极乐,其他,全属性提升15%，敌方行动结束若处于自身3格范围内则被夺取1个「有益状态」，若为召唤物且气血值低于自身则被吞蚀（受到最大气血100%固定伤害）并恢复自身50%气血（「极乐」状态下，无法获得餍足」状态）,false,false,false
极意I,有益,伤害+10%,true,false,false
极意II,有益,伤害+20%,true,false,false
极意III,有益,伤害+25%,true,false,false
梦海,其他,自身气血大于等于80%，则遭受范围绝学伤害降低50%（不可驱散，触发后移除）,false,false,false
梵天,其他,免伤提高50%，免疫「有害状态」（不可驱散，「对战后」消失，状态消失时驱散2格内所有敌方2个「有益状态」）,false,false,false
梵天·贰,其他,免伤提高50%，免疫「有害状态」（「对战后」消失，状态消失时反转3格内所有敌方2个「有益状态」并降低2点气力）,false,false,false
止歌,其他,法术免伤+10%，代替2格内友方承受法术攻击（「对战后」消失）,false,false,false
武,其他,人言为信，止戈为武。,false,false,false
死灭印记,其他,受到治疗效果减少50%。行动结束时，遭受1次「固定伤害」（自身最大气血*8%+已损失气血*20%）（不可驱散）,false,false,false
残蛊,其他,对友方使用绝学后施加「逆阙」状态，持续1回合，触发后移除。
「逆阙」：被施加的治疗直接转变为治疗量的50%伤害,false,false,false
毫毛,其他,免伤、暴击伤害提升6%（最多叠加3层）,false,false,false
气劲,其他,回合结束时，如果携带4层「气劲」，则消耗所有「气劲」对自身2格范围内1个敌人施加「晕眩」状态，持续1回合。,false,false,false
污秽,有害,无法获得任何有益状态,true,false,false
汲血,其他,「对战后」恢复自身气血，恢复量为本次伤害的30%。,false,false,false
沐春风,其他,免疫所有「有害状态」，且行动结束时，位于施加者2格范围内，驱散2个「有害状态」，并恢复自身50%最大气血,false,false,false
沐春风,其他,免疫所有「有害状态」，且行动结束时，位于施加者3格范围内，驱散2个「有害状态」，并恢复自身50%最大气血,false,false,false
沐春风,其他,免疫所有「有害状态」，且行动结束时，位于施加者3格范围内，驱散2个「有害状态」，获得2个随机「有益状态」，并恢复自身50%最大气血,false,false,false
沐音,其他,法术免伤+20%，遭受法术攻击后恢复30％气血,false,false,false
法力,其他,每层法攻提升4%，携带3层及以上时，移动力+1（上限5层，不可驱散）,false,false,false
波旬降临,其他,射程+1，移动无视敌方角色阻挡，自身气血外全属性提高携带「链锁」状态的敌方基础属性的30%（最多不超过自身基础属性的50%），状态结束时移除自身施加的「链锁」状态。,false,false,false
注能,其他,物攻和免伤提高15%，免疫「固定伤害」，主动攻击「对战前」对目标造成一次「固定伤害」（目标最大气血的10%），消失后获得「温度冷却」，持续1回合（无法驱散）
「温度冷却」：无法获得「注能」状态（无法驱散）,false,false,false
活血,有益,物攻，物防额外+20%,true,false,false
流火,其他,物攻和暴击率+20%,false,false,false
流血,有害,行动结束时，遭受1次「固定伤害」（施加者物攻的30%）,true,false,false
浊尘,其他,2格内的敌人主动释放技能前，使其2个「有益状态」变为随机「有害状态」，获得或刷新「遁地」状态时该状态持续回合数刷新至2回合。,false,false,false
浑天,其他,用所有主动绝学攻击时都可触发「寒岚」「焚狱」和「玄幽」状态的攻击效果，使用主动绝学攻击后消耗「寒岚」「焚狱」「玄幽」状态。,false,false,false
涅槃,有益,「对战前」恢复自身气血（恢复量为施术者法攻*0.5）,true,false,false
清流,有益,受到来自敌方的主动攻击伤害后消失，驱散1个「有害状态]，并恢复气血（恢复量为施术者法攻的0.4倍），生效后立刻为2格范围内1个气血百分比最低的其他友方驱散1个「有害状态」，并恢复气血(恢复量为施术者法攻的0.4倍),true,false,false
激怒,其他,范围绝学范围提升1。,false,false,false
激怒,其他,除气血外全属性提升10%，移动力+1，攻击「殷千炀」触发其免死者死亡后移除。,false,false,false
激荡,其他,克制攻击加成额外提升20%,false,false,false
火佑,其他,炎属相免伤提升30%，遭受炎属相攻击后消失。,false,false,false
火源,其他,最多储存「梦种灯」最大气血的100%，行动结束时消化50%储存总量为3格内其他友方恢复气血（必定在2回合内消化储存总量）,false,false,false
灭击,有害,无法获得气力和「有益状态」,false,false,false
灭破空间,其他,自身2格范围内，友方主动发起对战，且优先攻击时，「对战中」伤害提高10%，若攻击者气血不满额外提升15%。（1回合限定发动2次）,false,false,false
灭道,其他,免伤提高20%，受到攻击时，自身无视「克制」伤害（不可驱散，遭受攻击后消耗）,false,false,false
灵元盾,其他,所有免伤+15%，遭受2次伤害后消失，状态消失或重置时为2格范围内友方角色驱散2个「有害状态」,false,false,false
灵动,其他,造成伤害提升24%,false,false,false
灵辉,其他,行动结束时，如果携带不少于7层「灵辉」，消耗7层「灵辉」，再激活自身十字7格内1名法攻/物攻最高已结束行动的其他友方。（间隔2回合触发）,false,false,false
灵风,有益,移动力+1，可跨越障碍，免疫「移动力降低」。,true,false,false
炎浴,其他,主动攻击「对战后」，恢复伤害数值50%的气血，驱散自身2个「有害状态」。,false,false,false
炎狱,其他,3格范围内所有敌方主动攻击「对战前」驱散其1个「有益状态」，并施加「燃烧」状态，持续2回合。,false,false,false
炎狱空间,其他,自身2格范围内，友方角色主动发起对战，且优先攻击时，「对战中」伤害提高10%，对雷属相敌人额外提升10%。（1回合限定发动2次）,false,false,false
炎狱空间·壹,其他,自身2格范围内，友方角色主动发起对战，且优先攻击时，「对战中」暴击率、伤害提高10%，对雷属相敌人额外提升10%。（1回合限定发动2次）,false,false,false
炎狱空间·贰,其他,自身2格范围内，友方角色主动发起对战，且优先攻击时，「对战中」暴击率、伤害提高10%，对雷属相敌人额外提升15%。（1回合限定发动3次）,false,false,false
炎铠,有益,被攻击「对战前」自身恢复20%气血，并对目标驱散1个「有益状态」（对战后消耗）,true,false,false
炼化,其他,死亡后变成1颗「紫金内丹」拾取金丹的单位回复100%气血并获得「内蕴」效果。
「内蕴」：全属性提升30%,false,false,false
焕焱烈阵,其他,自身2格范围内，若有友方主动发起对战，且优先攻击时，使其本次战斗中伤害提高15%，若目标携带「燃烧」状态，伤害额外提高15%（每回合发动3次）,false,false,false
焚炎,有益,受到来自敌方的主动攻击伤害后消失，恢复自身气血（恢复量为施术者0.5倍法攻）并对菱形2格敌人造成1次「固定伤害」（施术者法攻*0.4）,true,false,false
焚狱,其他,使用炎属相绝学攻击后驱散目标1个「有益状态」（使用炎属相绝学后移除）。,false,false,false
